,id,job_title,job_type,job_exp,company,industries,location,source,search_kw,expected_salary,post_date,job_function,remote,job_summary,description
10,,scientific research director,,,Hamilton Kitchens and Bath,,Markham,Glassdoor,Research Director,$49.32 /hr (est.),2022-03-30,,,,"Additional Skills
Hire, train, direct and motivate staff
Area of Specialization
Scientific research
Specific Skills
Oversee the preparation of reports
Oversee the analysis of data and information"
11,,"Director, UX Research",,,1Password,Computer Hardware Development,Remote,Glassdoor,Research Director,,2022-03-30,,,,"Over 100,000 businesses and millions of people use 1Password to protect their most important information, and we believe those people – and the companies they work for – shouldn’t have to choose between security and productivity. We see security as a human challenge, rather than a technological one. It’s hard work, but our mission has always been to ease the tension between security and convenience and help people navigate the digital world without fear or friction. Human-centric security is part of our DNA, but human-centricity is also the backbone of our culture. We encourage big ideas and new ways of working that help us to make the online world a safer place for everyone.

The UX Research team works across the UX and design department and is responsible for the first phase of the design thinking process, laying the groundwork with which features can be defined and designed. Evolving what human centric security looks like and helping deliver our award winning user experience to businesses and consumers.

We’re looking for a research leader that has experience growing and leading a team. This is an opportunity to mentor and grow our UX research team as well as mature our practices and processes for research."
12,,Qualitative Research Director,,,Maru,Research & Development,Toronto,Glassdoor,Research Director,"$70,820 /yr (est.)",2022-03-30,,,,"Maru/Matchbox, a Maru Group company, has been pushing the boundaries of the customer market insights space for over a decade. Unifying deep sector expertise with cloud-based customer insights. We take a results-focused, consultative approach to help clients better understand what motivates their customers and influences their markets, so they can act decisively and win.

Research Director

We are seeking a Research Director to become a member of the growing qualitative team. This person will hold a client-facing position, leading & supporting innovative digital qualitative research as well as in-person (when safely conducted) as part of our Qualitative team. As a member of this strategic team, you will influence our future growth and success by supporting existing strategic client engagements. You will influence research proposals, study design, moderation, data structuring and analysis, recommendations, and presenting results. As a trained and self-sufficient qualitative researcher with proven experience meeting strategic client needs, you have a reputation for impeccable client management, creativity, attention to detail, and strategic insight in delivering research results and consultative recommendations. In short, providing proactive, creative, and enthusiastic service that wows your clients and your team."
13,,"Director, Academic and Research Impact",,,Health Sciences North,Security & Protective,Greater Sudbury,Glassdoor,Research Director,"$134,813 /yr (est.)",2022-03-30,,,,"Director, Academic and Research Impact Health Sciences North (HSN) Health Sciences North Research Institute (HSNRI)
$123,883 - $145,743
Reporting to the Vice-President, Academic and Research Impact at HSN and HSNRI, you will help advance the key goal articulated in the 2019-2024 Strategic Plan of HSN and HSNRI (www.yourhsn.ca) to strengthen our Academic and Research Impact. We aspire to progress as an academic health sciences centre, through regional, provincial, national and international collaborations. Associated desired outcomes include fostering an inter-professional learning culture where every learner is welcomed and supported, championing a regional health innovation cluster, and supporting research efforts of researchers and medical staff that are favourably peer-reviewed, partially funded through external sources and involve collaborations. Support will include space and access to HSNRI scientists, inclusive ofICES North, statisticians, grant-writers and administrative staff. Collaborative research towards CancerSolutions, Cardiovascular Health, Healthy Aging and Indigenous Health will be advanced."
14,,Development Director - Advanced Research Team (SEED),,,Electronic Arts,Video Game Publishing,Toronto,Glassdoor,Research Director,"$114,970 /yr (est.)",2022-03-30,,,,"Development Director - Advanced Research Team (SEED)
Remote Work Option: Yes

Electronic Arts Inc. is a global leader in interactive entertainment. We develop games, content and online services across platforms. We have a broad portfolio of brands that span the most popular genres.
We exist to Inspire the World to Play. We create extraordinary new game experiences for our millions of players everywhere by bringing together accomplished people that combine creativity, innovation, and passion. We immerse our employees into an inclusive culture and provide opportunities for learning and leading that allow our employees to do the most impactful and rewarding work of their careers.

Electronic Arts Inc. is a leading global interactive entertainment software company. EA delivers games, content and online services for Internet-connected consoles, personal computers, mobile phones and tablets."
15,,Research Director,,,MD Analytics,Advertising & Public Relations,Montreal,Glassdoor,Research Director,"$56,554 /yr (est.)",2022-03-30,,,,"MD Analytics is a leading international healthcare and pharmaceutical market research agency.

Over the past two decades, MD Analytics has grown to be one of the largest and most respected research agencies in Canada, being recognized for exceptional quality in reporting and client services.

To support current growth, we are seeking an experienced market researcher with a passion for healthcare, the ability to support and grow established accounts, and the skills to direct a rapidly growing team of remote researchers.

The Opportunity: Research Director (Permanent Remote Position, Greater Montreal Area)"
16,,"Director, Research and Thought Leadership",,,CPA Ontario,,Toronto,Glassdoor,Research Director,,2022-03-30,,,,"An Opportunity To
Shape The Debate on Issues That Matter
The Director, Research and Thought Leadership will be responsible for defining a compelling and future-focused thought leadership program on issues that matter to our profession and to the business world at large – from ESG and the intangible economy, to the role of leadership, purpose and values-driven behavior in driving trust.
Reporting to the EVP, Chief Communications & Sustainability Officer, the Director, Research and Thought Leadership will lead the strategy, stakeholder management, and oversight of our Thought Leadership program, including research, content creation, synthesizing and packaging of content into compelling narratives, whitepapers and engagements."
17,,"Director of Research and Development, Nucleic Acid Therapeutics",,,Cytiva,Biotech & Pharmaceuticals,Vancouver,Glassdoor,Research Director,,2022-03-30,,,,"Be part of something altogether life-changing

Working at Cytiva in the Life Sciences industry means being at the forefront of providing new solutions to transform human health. Our incredible customers undertake life-saving activities ranging from fundamental biological research to developing innovative vaccines, new medicines, and cell and gene therapies.

At Cytiva you will be able to continuously improve yourself and us – working on challenges that truly matter with people that care for each other, our customers, and their patients. With associates across 40 countries, Cytiva is a place where every day is a learning opportunity – so you can grow your career and expand your skills in the long term.

Cytiva is proud to work alongside a community of nine fellow Danaher Life Sciences companies. Together, we’re pioneering the future of science and medicine, developing products that enable researchers in the fight to save lives.

We are looking for a Director of Research and Development to work with our newly formed Nucleic Acid Therapeutics team. Do you have a passion for developing products and technology with the chance to deliver innovative solutions impacting patients’ lives? Then we would love to hear from you.

What you’ll do
Build and lead a global team of mRNA and nucleic acid scientists and engineers focused on developing the next generation of manufacturing technologies for genomic therapeutics.
You will lead and collaborate on the total mRNA manufacturing workflow as appropriate spanning DNA template generation, IVT synthesis and purification and forumulation together with key internal stakeholders.
Partner with Product Management, Marketing, Strategy and Business Leadership to define, maintain and execute on a New Product Development Roadmap for the business.
Leverage your team and shared resources within other technical areas to define user and system requirements for new products, build and test prototype devices against those specifications, verify and validate final designs, and transfer final designs for manufacturing.
Support products throughout their life cycle via a Phase-Gate Discipline including ideation, development, market launch, on-market sustainment, and obsolescence.
Partner cross functionally to align on design strategies and drive design choices that will ensure Design For Manufacturing, Design For Excellence, and Design For Reliability.
In addition to new product development you will build and lead an application expert team in the mRNA Centre of Excellence focused on generating solution data, proof of concept and customer facing scientific material in support of overall nucleic acid toolbox development.
Proactively identify, manage, and plan for product development risks and mitigations.
Ensures compliance with quality systems, regulatory requirements, and commercial change process.
Hold ultimate responsibility for the on-time and on-budget delivery of all technical projects for the business, working with colleagues in manufacturing, sourcing, regulatory and quality to deliver innovative and high-quality new products that accelerate patient access to new therapies.
Responsible for talent management to ensure the continued development for front-line managers and associates. Partner closely with the human resources organization and other technical leaders in developing organizational capabilities through succession planning, organizational assessment, identification of key skill gaps, talent acquisition and talent development strategies that link with business goals.
Develop expertise in and act as a mentor for the Danaher Business System.

Who you are
Bachelor’s, Master’s, or Ph.D. in molecular or cell biology, or a related technical field
10+ years of experience in Biomanufacturing, Cell Therapy, Gene Therapy or a related Life Sciences field, ideally with direct experience in Nucleic Acid Therapeutics
5+ years of experience in managing research and product development teams, ideally with demonstrated success in organizational design and strategy
Familiarity with regulatory requirements for therapeutic development
Executive level communication skills
Data driven approach to project ideation, planning, prioritization, and execution
Proven innovator, with a track record of developing new ideas through collaboration and translating strategic direction into tactical execution in a team-driven environment

When you join us, you’ll also be joining Danaher’s global organization, where 69,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.

At Danaher, we value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes.

If you’ve ever wondered what’s within you, there’s no better time to find out."
18,,"Director of Diversity, Equity and Inclusion",,,WildBrain,,Vancouver,Glassdoor,Research Director,"$53,683 /yr (est.)",2022-03-30,,,,"Overview:
WildBrain is looking for a Director of Diversity, Equity and Inclusion to support our animation and live action Development and Production teams. Reporting to the our Chief Content Officer, you will lead our Content DEI strategy, vetting our scripts and creative materials. You will also establish a framework that our productions are able to leverage to ensure that the content we produce represents diversity, equity and inclusion authentically and appropriately. Finally, you will help to guide Studio DEI strategy and will oversee the implementation of a variety of programs.

Find a job that let’s your imagination run wild!
WildBrain Studios produces fan-favorite animation and award-winning content that kids and families love in every corner of the globe. We love what we do and it shows in the quality content we produce! Our custom-built Vancouver studio in beautiful British Columbia is a wonderful backdrop for our artists, but it doesn’t end there, we have employees working remotely across BC, Canada, and the world! Our artist-centric culture means we invest in our people, we provide training and growth opportunities, a healthy work-life balance, and fun activities throughout the year to meet, mingle and get creative with your team. If you like what you are reading so far, well buckle up, we’re just getting started.
Responsibilities:
Qualifications:"
19,,"Director, Organizational Research IT",,,National Research Council Canada,Government Agencies,Ottawa,Glassdoor,Research Director,"$137,800 /yr (est.)",2022-03-30,,,,"Help bring research to life and drive your career forward with the National Research Council of Canada (NRC), Canada's largest research and technology organization.

We are looking for a Director, Organizational Research IT - the successful candidate would be someone who shares our core values of Integrity, Excellence, Respect and Creativity.
Position Description
The Director, Organizational Research IT is accountable for ensuring that NRC research is effectively enabled by information technology (IT) infrastructure, Information Management (IM) Data, tools, and services. This includes managing all IT/IM and Data elements of the KITS digital pillar targeting Excellence in Research and Innovation, including providing secretariat support for digital research governance, translating governance decisions into action, maintaining an effective self-serve cloud capability in support of NRC research, coordinating research IT project intake, providing leadership for optimizing use of research software across the NRC, collaborating closely with external and internal partners to meet research clients’ IM/IT and data requirements, and providing leadership and vision for planning the continuous improvement and evolution of the research IT service suite of tools and services.

The Director, Organizational Research IT will also need to liaise with numerous external organizations, such as but not limited to SSC, other GC SBDAs, Academic institutions, DRAC to name a few."
20,,"Director, Market Research",,,Ipsos North America,Business Consulting,Toronto,Glassdoor,Research Director,,2022-03-30,,,,"At Ipsos, we make market research work. We know numbers. We understand people. And we succeed in delivering results. That’s why so many of the world’s leading brands and organizations look to us for their research needs.
Operating in over 80 countries, we’re a global leader in survey-based market research and one of the fastest-growing and most successful firms in the business. Our research focuses on five areas of specialty – advertising, marketing, public opinion, loyalty, and media – and our work focuses on our people and our clients.
Sound like the right place for your career? Share our passion. Share our success. And join us in being proud to be Ipsos
Director, Market Research
Downtown, Toronto

Required Skills

Required Experience"
21,,"Director, Academic and Research Impact",,,Health Sciences North Research Institute,Security & Protective,Greater Sudbury,Glassdoor,Research Director,"$134,813 /yr (est.)",2022-03-30,,,,"Director, Academic and Research Impact
Health Sciences North (HSN)
Health Sciences North Research Institute (HSNRI)

$123,883 - $145,743

Reporting to the Vice-President, Academic and Research Impact at HSN and HSNRI, you will help advance the key goal articulated in the 2019-2024 Strategic Plan of HSN and HSNRI (www.yourhsn.ca) to strengthen our Academic and Research Impact. We aspire to progress as an academic health sciences centre, through regional, provincial, national and international collaborations. Associated desired outcomes include fostering an inter-professional learning culture where every learner is welcomed and supported, championing a regional health innovation cluster, and supporting research efforts of researchers and medical staff that are favourably peer-reviewed, partially funded through external sources and involve collaborations. Support will include space and access to HSNRI scientists, inclusive of ICES North, statisticians, grant-writers and administrative staff. Collaborative research towards Cancer Solutions, Cardiovascular Health, Healthy Aging and Indigenous Health will be advanced.

You will provide operational leadership to a team of approximately 50 people and a budget of close to $10 million dollars. You will support the Vice-President, scientists, research leads, research chairs, the Director of IC/ES North and the Medical Director of the Simulation Laboratory. You will lead a team of managers in research services, research safety, ethics and compliance, clinical trials and the simulation laboratory, as well as staff supporting more than 2,000 medical and non-medical learners and the library, and other staff supporting academic and research activities. You will ensure that HSNRI policies and procedures remain updated and monitored, that deliverables of research contracts are met, and that principle investigators are encouraged and supported in developing competitive external research funding proposals and collaboration opportunities."
22,,"Director, Research & Proposals (Remote- Canada/US)",,,Maru,,Toronto,Glassdoor,Research Director,"$70,820 /yr (est.)",2022-03-30,,,,"Director, Research & Proposals

Maru/Blue, a Maru Group company, has been pushing the boundaries of the customer market insights space for over a decade. Unifying relevant online audiences with cloud-based technologies, we take a results-focused, consultative approach to helping clients connect with the people they want to talk to. Our goal is to achieve results through a unique blend of expert knowledge of the panel and data services market combined with superior quality.

The Opportunity: Director, Research & Proposals"
23,,Lab Director,,,Inspire Diagnostics,,Vancouver,Glassdoor,Research Director,$57.50 /hr (est.),2022-03-30,,,,"Responsibilities:
Responsible for day-to-day supervision or oversight of the laboratory operation and personnel performing testing and reporting test results.
Additional:
Ensure that all remedial actions are taken whenever test systems deviate from the laboratory's established performance specifications
Ensure that patient test results are not reported until all corrective actions have been taken and the test system is properly functioning;
Providing orientation and guidance to all testing personnel
Additional duties as assigned"
24,,Director of Science (Remote),,,BenchSci,Computer Hardware Development,Toronto,Glassdoor,Research Director,,2022-03-30,,,,"BenchSci’s vision is to bring novel medicine to patients 50% faster by 2025. We’re achieving it by empowering scientists with the world’s most advanced biomedical artificial intelligence. Backed by F-Prime, Gradient Ventures (Google’s AI fund), and Inovia Capital, our platform accelerates science at 15 top-20 pharmaceutical companies and over 4,300 leading research centers worldwide. We’re a remote-first company recognized for our impact and culture as a Deloitte Tech Fast 50TM, CIX Top 10 Growth, Great Place to Work®, and top-ranked organization on Glassdoor. Learn more at www.benchsci.com.

We're currently seeking a Director of Science to join our team. Reporting to the SVP of Product & Science, you will lead BenchSci’s Science Team to build a world-class biomedical research database and manage a team of Subject Matter Experts (SMEs) to develop software products that will empower scientists to run more successful experiments. You will be responsible for ensuring the data is of the highest quality and meets the needs of our users.
You will:"
25,,Director - Health Economics Statistics,,,"Cytel, Purple Squirrel HTA, LLC",Biotech & Pharmaceuticals,Canada,Glassdoor,Research Director,,2022-03-30,,,,"Health Economics and Comparative Effectiveness Director / Associate Director (remote position, anywhere in Canada or the US)
The Purple Squirrel Economics (PSE) is a boutique research and consulting firm specializing in the economic evaluation of new medical technologies. PSE is a Health Economics and Outcomes research subsidiary of Cytel inc. Our clients include many of the leading pharmaceutical, biotechnology, and medical device manufacturers from around the world. Our dedicated staff of full-time employees includes health economists, pharmacologists/pharmacy scientists and market access professionals. A job with PSE offers an opportunity to experience the Health Economics and market access environment on a global level working with multinational pharmaceutical industry players, payers, clinical guidance experts and other consultants from a hands-on perspective. Our small company is growing and we would like to hire the best of the best. Our employees can expect to be challenged, learn new skills and grow to discover new opportunities for the future.
We are currently accepting applications for a statistician for our Health Economics department. This is a key position with opportunities for growth and advancement. The incumbent will work closely with project leaders and clients on various projects."
26,,"Head of Research, Canada",,,Cushman & Wakefield,Real Estate,Toronto,Glassdoor,Research Director,,2022-03-30,,,,"Job Title

Head of Research, Canada

Job Description Summary

The National Research Director leads Research for Canada and oversees Research in the local markets throughout the country. This position will be in key markets where production or volume require a high level of research expertise and support. The Director will manage and oversee all research activities and resources throughout Canada. This position participates in pitches and presentations with fee-earners, as well as the overall business development strategy for the market. This role coordinates research activity across service lines and property types.

Job Description

Essential duties and responsibilities


Leads market thought leadership

Provides research information for use by Market Leaders and Brokers in media interviews
Speaks directly to media for interviews
Works with Marketing to publicize market trends and analysis to social media platforms and website
Makes recommendations for the design and development of new products and services

Support Pitches and/or Proposals

Participates in development of national requests for research information including market stats and analysis for prospecting, pitch and/or proposal materials
Attends, participates in and presents market information at high-profile client meetings, client pitches and presentations

Business development

Proactively engages in business pursuits, collaborate with Market Leaders at higher level

Manages Canada Research team

Recruitment, motivation and retention of existing employees
Oversees and directs quarterly data compilation and statistical production including forecasting and client requests
Appropriately staffs projects based on level of effort and expertise required for projects
Ensures research teams are meeting needs of local fee-earners

Manages the production and distribution of analytical research materials

Shares best practices within and across market or offices

Metrics


Quality of reports and analysis produced
pursuits supported, request turnaround time and quality
Data accuracy and comprehensiveness
Global Think Tank reporting/participation
National thought leadership content
Support and development of direct reports
Business development
BACKGROUND AND EXPERIENCE


Bachelor’s degree required
MBA or Master’s degree in research, economics, real estate or other related field preferred
10+ years of experience in research, real estate experience preferred
6+ years of supervisory experience
Professional acumen, deep understanding of real estate leasing and capital markets business; not just a deep expertise in an individual area or marketplace
Developing forward-looking insights
People development
Business development

Competencies
Ability to lead the Canada Research team as well as manage, train and provide mentorship
Strong, polished and articulate verbal and written communication skills, proven ability to communicate and analyze market conditions for business development to support internal and external clients and advanced presentation skills
Demonstrates good judgement to make appropriate decisions
Ability to plan, organize, prioritize and manage processes in a fast-changing environment
Ability to form strong connections and relationships
proven ability to communicate and analyze market conditions for business development; ability to network and foster client relationships
Accountability/ownership
Ability to successfully resolve problems with minimal direction
Proactively analyze data; tenacity to go above and beyond
Desire to invest time and energy in CRE knowledge
Knowledge of the complexities and rules within the CRE industry with the ability to capture, analyze and communicate key market metrics and indicators
Strong attention to detail"
